date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:54	34291/34291	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2005%20Jun%202020%2014:38:39%20GMT	https://andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Libraries/jquery.datetimepicker.min.js?1591367919	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Libraries/jquery.datetimepicker.min0eef.js	(from https://andrae.de/andrae-group/karriere/)
16:29:55	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Oct%202020%2013:29:55%20GMT	http://andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Libraries/parsley.min.js?1591367919	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Libraries/parsley.min0eef.js	(from https://andrae.de/andrae-group/karriere/)
16:29:55	42058/42058	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2005%20Jun%202020%2014:38:39%20GMT	https://andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Libraries/parsley.min.js?1591367919	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Libraries/parsley.min0eef.js	(from https://andrae.de/andrae-group/karriere/)
16:29:55	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Oct%202020%2013:29:56%20GMT	http://andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Powermail/Tabs.min.js?1591367919	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Powermail/Tabs.min0eef.js	(from https://andrae.de/andrae-group/karriere/)
16:29:55	2982/2982	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2005%20Jun%202020%2014:38:39%20GMT	https://andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Powermail/Tabs.min.js?1591367919	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Powermail/Tabs.min0eef.js	(from https://andrae.de/andrae-group/karriere/)
16:29:55	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Oct%202020%2013:29:56%20GMT	http://andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Powermail/Form.min.js?1591367919	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Powermail/Form.min0eef.js	(from https://andrae.de/andrae-group/karriere/)
16:29:56	5086/5086	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2005%20Jun%202020%2014:38:39%20GMT	https://andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Powermail/Form.min.js?1591367919	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/powermail/Resources/Public/JavaScripts/Powermail/Form.min0eef.js	(from https://andrae.de/andrae-group/karriere/)
16:29:56	2082/2082	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2005%20Jun%202020%2014:38:38%20GMT	https://andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/fonts/flexslider-icon.eot	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/fonts/flexslider-icon.eot	(from https://andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/flexslider.css?1591367918)
16:29:56	2082/2082	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2005%20Jun%202020%2014:38:38%20GMT	https://andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/fonts/flexslider-icon.eot?	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/fonts/flexslider-icond41d.eot	(from https://andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/flexslider.css?1591367918)
16:29:56	1268/1268	---M--	200	added ('OK')	application/font-woff	date:Fri,%2005%20Jun%202020%2014:38:38%20GMT	https://andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/fonts/flexslider-icon.woff	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/fonts/flexslider-icon.woff	(from https://andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/flexslider.css?1591367918)
16:29:57	1892/1892	---M-Z	200	added ('OK')	application/x-font-ttf	date:Fri,%2005%20Jun%202020%2014:38:38%20GMT	https://andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/fonts/flexslider-icon.ttf	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/fonts/flexslider-icon.ttf	(from https://andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/flexslider.css?1591367918)
16:29:57	2334/2334	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2005%20Jun%202020%2014:38:38%20GMT	https://andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/fonts/flexslider-icon.svg	D:/Web/work/0046-andrae/site/abdrae/andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/fonts/flexslider-icon.svg	(from https://andrae.de/typo3conf/ext/bootstrap_grids/Resources/Public/Flexslider2/flexslider.css?1591367918)
16:29:57	1438174/1438174	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jun%202020%2011:28:37%20GMT	https://andrae.de/fileadmin/template/img/header.png	D:/Web/work/0046-andrae/site/abdrae/andrae.de/fileadmin/template/img/header.png	(from https://andrae.de/fileadmin/template/dist/css/main.min.css?1593516517)
